id,Country,village_name,Y_deg,X_deg,Pop,elec_rate,demand_kwh,dist_to_grid,SubstationDist,RoadDist,GHI,GridCellArea,Elevation
16675,Benin,Malanville,11.643845,3.202672,44,0.38636363636363635,1346.4850000000001,1.3432515970186891,30.245650956136338,1.432071,2083,17908.895,201.0
14866,Benin,Location #14272,11.076944,2.414521,49,0.3877551020408163,1504.895,23.73956849324683,23.726612179764963,16.540939,2053,37286.645,262.0
11152,Benin,Tobré,10.180623,2.127163,106,0.3867924528301887,3247.405,57.77355005227065,31.956396659516756,1.531476,2013,82744.897,346.0
7897,Benin,Parakou,9.361864,2.527981,44,0.38636363636363635,1346.4850000000001,2.2625055044177964,3.9919075035396627,2.564689,1907,12612.125,370.0
9349,Benin,Djougou,9.853242,1.757479,49,0.3877551020408163,1504.895,19.80108804467701,23.039201733132067,0.084638,1998,19979.088,421.0
9038,Benin,Bouérou,9.758982,2.550455,67,0.3880597014925373,2059.33,15.456735800250787,46.666045552426674,0.172877,1946,29467.824,334.0
4744,Benin,Kpakpamè,7.303546,2.115071,139,0.38848920863309355,4751.205,3.5770427117758423,14.882581110822091,3.568616,1770,17741.878,219.0
4036,Benin,Pobè,7.030149,2.680923,62,0.3870967741935484,1900.92,2.873853329670455,8.607389594605818,2.291306,1696,21470.239,65.0
9514,Benin,Location #9691,9.889601,1.657642,82,0.3902439024390244,2534.56,12.031900034590231,22.609371483254307,4.855493,1998,22955.255,409.0
6559,Benin,Savalou,8.084875,2.114564,1157,0.38807260155574763,42421.030000000006,17.113306183712183,32.399743168871574,13.617934,1813,304313.435,197.0
11859,Benin,Location #16749,10.401965,2.610494,28,0.39285714285714285,871.255,14.122938010389891,22.40586235156849,12.529605,2018,14305.121,333.0
6475,Benin,Location #1484,7.884609,2.46863,827,0.38814993954050786,26063.190000000002,9.172233174987952,33.358943932558915,8.166755,1765,127997.589,165.0
9278,Benin,Karhoum-Yaourou,9.818351,1.443591,508,0.38779527559055116,15761.43,11.353173099646733,24.400195338340815,4.92114,1990,198340.231,434.0
225,Benin,Ouidah,6.44887,2.160001,735,0.3877551020408163,25910.985,9.522438879103671,24.622551461075215,1.493093,1759,154565.588,14.0
15009,Benin,Location #16697,11.119589,2.369977,31,0.3870967741935484,950.46,20.93218528376291,20.03234051393081,9.935228,2058,7266.544,293.0
6177,Benin,Domè,7.102629,2.141157,380,0.3605263157894737,12918.080000000002,8.427635594817483,10.624203559524286,0.0,1755,113145.649,65.0
15080,Benin,Banikoara,11.151611,2.476339,41,0.3902439024390244,1267.28,13.783309908965673,16.432041508336354,14.379258,2057,7129.845,290.0
767,Benin,Tori-Bossito,6.521165,2.067566,505,0.38811881188118813,19025.989999999998,9.994270106565025,16.031250499469003,6.609666,1727,176079.793,52.0
10579,Benin,Kouandé,10.071901,1.845455,706,0.3881019830028329,22176.305,38.03785635969169,48.53280119556659,6.817051,2008,266665.268,419.0
6493,Benin,Savalou,8.024273,1.955661,157,0.3885350318471338,4831.505,30.639808083421077,35.031765199905585,3.13118,1819,16112.046,220.0
14609,Benin,Fondo,11.025234,3.618418,77,0.38961038961038963,2698.4449999999997,69.52392909512014,14.366887083679758,7.763899,2048,10540.481,252.0
14141,Benin,Ferme Wawarou,10.868374,2.054898,52,0.38461538461538464,1584.1,63.251437147722136,61.96172162826572,0.808778,2044,28569.468,310.0
6240,Benin,Savalou,7.807587,1.65557,464,0.3879310344827586,14256.900000000001,56.03947393276415,57.30219492172638,1.824441,1848,69444.239,237.0
4715,Benin,Kétou,7.314417,2.552818,62,0.3870967741935484,2058.965,8.991322666058432,25.827333581319838,2.91611,1733,20508.089,81.0
2993,Benin,Houègbo,6.832073,2.15966,441,0.3877551020408163,13544.055,21.039874738787333,22.844877835096522,0.927619,1727,61716.358,155.0
10971,Benin,Kalalé,10.208423,3.549749,41,0.3902439024390244,1267.28,90.45849675975609,20.710185236232604,19.600651,2001,59370.929,338.0
6417,Benin,Gobé,7.957194,2.449625,482,0.3879668049792531,15613.97,10.01942764345321,34.75476176632066,5.840705,1771,57936.765,181.0
16536,Benin,Location #5535,11.561257,2.628898,173,0.3872832369942196,5306.735,34.41310873944392,37.00889065750989,11.387144,2079,131567.801,256.0
12519,Benin,Manta,10.323452,1.125161,54,0.3888888888888889,1663.305,24.77701217079017,31.59010274231806,0.663689,1970,48662.968,276.0
15113,Benin,Banikoara,11.14491,2.439655,188,0.3882978723404255,5781.965,15.689229864506482,16.18539300032596,11.937355,2057,101635.513,267.0
1579,Benin,Tori-Bossito,6.611686,2.121287,46,0.391304347826087,1583.7350000000001,1.0780721875301456,10.896462471795513,0.904783,1708,50440.525,86.0
1994,Benin,Sakété,6.783219,2.625281,389,0.38817480719794345,17528.760000000002,0.5546467261134691,5.4864343072255295,0.0,1696,203329.404,106.0
3504,Benin,Aplahoué,6.988,1.601484,397,0.3879093198992443,14435.02,1.5099410261558648,9.728668928776521,4.351829,1771,99521.874,97.0
6498,Benin,Savalou,8.00852,1.648154,325,0.38769230769230767,15731.5,61.829099040860804,62.52420371468933,0.0,1854,168808.541,228.0
7210,Benin,Tchaourou,9.003348,2.644545,75,0.38666666666666666,2296.945,9.3151578237654,14.808921177811595,6.085493,1852,28455.136,348.0
4332,Benin,Location #1470,7.15929,1.836793,832,0.38822115384615385,25905.510000000002,6.446604306254058,12.898660231921125,6.691313,1755,164851.435,99.0
4477,Benin,Bohicon,7.131014,2.203393,139,0.38848920863309355,4277.07,6.290779811301362,14.990538469037762,4.070951,1753,38044.407,59.0
9286,Benin,Location #2205,9.82006,1.884277,531,0.3879472693032015,17276.91,25.578312694039756,30.251969430314006,0.0,1986,208527.839,388.0
6952,Benin,Ouèssè,8.583128,2.600449,46,0.391304347826087,5287.025,1.2378959726839518,21.96440496301533,0.010148,1801,22544.805,300.0
6002,Benin,Kétou,7.554368,2.736798,77,0.38961038961038963,3014.5350000000003,3.8511278899898307,51.461109663978775,1.409909,1722,72051.779,194.0
15776,Benin,Biboubawangou,11.307645,2.280229,90,0.3888888888888889,2772.1749999999997,17.28278036552,15.867808960098857,5.248467,2070,42085.715,288.0
4543,Benin,Pobè,7.141786,2.664907,178,0.38764044943820225,5781.235000000001,0.5172517201997462,5.16311472939973,1.291959,1713,66756.091,68.0
191,Benin,Gbéhoué,6.360229,1.911169,3469,0.38800807149034305,136880.47499999998,27.307997091347588,4.121508247653526,3.21852,1807,1503567.453,4.0
12377,Benin,Location #14096,10.302531,0.946833,49,0.3877551020408163,1504.895,43.93875582821539,50.00153520732712,18.172972,1980,36018.461,181.0
2786,Benin,Abeokouta,6.81036,2.485198,46,0.391304347826087,1906.0300000000002,12.26091366749927,19.71751194527245,0.760994,1700,44819.937,79.0
8346,Benin,Onklou 1,9.415797,2.079631,173,0.3872832369942196,5464.78,0.8049359130873599,52.37001822801278,0.006286,1936,58748.883,322.0
8664,Benin,Ouaké,9.632702,1.479971,54,0.3888888888888889,1821.3500000000001,6.751872374302862,17.129534874526787,0.100371,1990,13339.067,472.0
7753,Benin,Location #12523,9.277344,1.796357,59,0.3898305084745763,1821.715,18.23693563739813,46.01654761243699,23.083139,1937,38436.12,373.0
4551,Benin,Bohicon,7.119539,2.198017,62,0.3870967741935484,1900.92,7.535375593117814,14.972802523703981,2.82731,1753,11825.651,58.0
9224,Benin,Location #10400,9.726613,1.881335,75,0.38666666666666666,2296.945,18.051892605154745,26.01456369387155,0.395118,1980,36062.43,377.0
9799,Benin,Location #9051,9.655961,1.973454,90,0.3888888888888889,2772.1749999999997,15.7004681697824,35.536845888161864,6.034011,1968,24100.986,329.0
12076,Benin,Location #8835,10.439438,0.933101,93,0.3870967741935484,2851.38,40.243314377335885,55.91668839783448,4.376505,1991,96791.039,186.0
13303,Benin,Location #16702,10.659106,2.827421,31,0.3870967741935484,950.46,4.989449215041191,17.900213359958236,6.488595,2035,13671.692,311.0
11219,Benin,Location #4861,10.234483,1.246883,204,0.3872549019607843,6257.195000000001,15.358762260224452,16.348080723081882,1.740358,2011,230685.434,583.0
14485,Benin,Borodarou,10.974938,2.909193,103,0.3883495145631068,3168.2,2.591659255964419,16.411881606310697,3.761091,2051,24404.464,275.0
5871,Benin,Savalou,7.739401,1.674716,77,0.38961038961038963,2376.15,50.444846880843095,55.60900274179363,0.0,1842,13978.693,224.0
11035,Benin,Location #6373,10.200023,1.392337,144,0.3888888888888889,4435.48,1.2449727942286568,1.2538148325402383,1.687867,1993,67337.818,356.0
2013,Benin,Sé,6.784713,2.113483,443,0.38826185101580135,14571.529999999999,13.779795908673428,15.68461199076325,0.677439,1725,81047.915,139.0
13429,Benin,Location #2292,10.669541,1.356479,508,0.38779527559055116,16728.315000000002,11.64066118579865,49.16503813267608,6.718574,2029,167330.952,479.0
